split,date,symbol,side,horizon_seconds,rows,clipped_turnover,weighted_pnl_bps,mean_pnl_bps
train,2025-12-22,btcusdt,buy,60,2070279,6356903208.9889,0.47965435686828867,0.20562092055617745
train,2025-12-22,btcusdt,sell,60,2057108,6218420866.6744,-0.34120790606446455,-0.4419100160235262
train,2025-12-22,btcusdt,buy,120,2076311,6373636658.777299,0.923487527233702,0.6155243084565512
train,2025-12-22,btcusdt,sell,120,2060782,6227915673.8934,-0.6020950123769674,-0.7074037233424331
train,2025-12-22,btcusdt,buy,300,2085787,6425419390.813199,2.828747492052637,1.8417096293031419
train,2025-12-22,btcusdt,sell,300,2074453,6302463311.7091,-1.2172310668879356,-1.5048366223888983
train,2025-12-23,btcusdt,buy,1,1738952,5328967086.55,-0.15120626659733183,-0.12946269419777942
train,2025-12-23,btcusdt,sell,1,1736769,5473406753.974299,-0.009804779322659283,-0.07405430356940333
train,2025-12-23,btcusdt,buy,5,1738952,5328967086.55,-0.21860725524340316,-0.1808498565448912
train,2025-12-23,btcusdt,sell,5,1736769,5473406753.974299,0.023674570658226382,-0.1075263757440554
train,2025-12-23,btcusdt,buy,10,1738952,5328967086.55,-0.3700882148717539,-0.25155752625508965
train,2025-12-23,btcusdt,sell,10,1736769,5473406753.974299,0.012181939290931308,-0.12658582031000246
train,2025-12-23,btcusdt,buy,30,1738952,5328967086.55,-0.42826460965461005,-0.24968152932313642
train,2025-12-23,btcusdt,sell,30,1736769,5473406753.974299,0.1733179576539663,-0.06000212422588203
train,2025-12-23,btcusdt,buy,60,1738952,5328967086.55,-0.21416324713174062,-0.14578321897394178
train,2025-12-23,btcusdt,sell,60,1736769,5473406753.974299,-0.05668605023631483,-0.24364116269390246
train,2025-12-23,btcusdt,buy,120,1738952,5328967086.55,0.3274657841751408,0.08729225498215655
train,2025-12-23,btcusdt,sell,120,1736769,5473406753.974299,-0.6589979037902356,-0.5148676308221757
train,2025-12-23,btcusdt,buy,300,1738952,5328967086.55,0.8677780110404245,0.6805753022205342
train,2025-12-23,btcusdt,sell,300,1736769,5473406753.974299,-0.912231479254288,-0.905337907819985
train,2025-12-24,btcusdt,buy,1,1130488,3301484534.3535004,-0.09799075188885854,-0.08083953514832505
train,2025-12-24,btcusdt,sell,1,1134998,3342589548.1006002,0.06718261376580575,0.015561022791405574
train,2025-12-24,btcusdt,buy,5,1130488,3301484534.3535004,-0.2224383241775023,-0.21115431035806922
train,2025-12-24,btcusdt,sell,5,1134998,3342589548.1006002,-0.10110178217750347,-0.1383160229524061
train,2025-12-24,btcusdt,buy,10,1130488,3301484534.3535004,-0.36315602683272435,-0.3230568770716955
train,2025-12-24,btcusdt,sell,10,1134998,3342589548.1006002,-0.1728921214576994,-0.1997175462393351
train,2025-12-24,btcusdt,buy,30,1130488,3301484534.3535004,-0.28103919017863543,-0.2143263138043055
train,2025-12-24,btcusdt,sell,30,1134998,3342589548.1006002,-0.25174229824116195,-0.25498773940703956
train,2025-12-24,btcusdt,buy,60,1130488,3301484534.3535004,-0.08878546450997142,-0.054713078352666096
train,2025-12-24,btcusdt,sell,60,1134998,3342589548.1006002,-0.27929304636856733,-0.32031797092915854
train,2025-12-24,btcusdt,buy,120,1130488,3301484534.3535004,-0.3501885177001151,-0.18528652761105271
train,2025-12-24,btcusdt,sell,120,1134998,3342589548.1006002,-0.20884818535252314,-0.29354329244768035
train,2025-12-24,btcusdt,buy,300,1130488,3301484534.3535004,-1.3139109635557087,-0.7033630978792306
train,2025-12-24,btcusdt,sell,300,1134998,3342589548.1006002,2.728008601326873,0.9957095551792929
train,2025-12-25,btcusdt,buy,1,755650,2325930568.9135,0.03338806372633953,0.019925013177767445
train,2025-12-25,btcusdt,sell,1,788977,2494570690.9615993,0.048989806944275405,-0.005673297392879127
train,2025-12-25,btcusdt,buy,5,755650,2325930568.9135,-0.048926785628113215,-0.09864814728625404
train,2025-12-25,btcusdt,sell,5,788977,2494570690.9615993,-0.10219616310339788,-0.1397289085920034
train,2025-12-25,btcusdt,buy,10,755650,2325930568.9135,-0.29184020688471873,-0.2526950142828141
train,2025-12-25,btcusdt,sell,10,788977,2494570690.9615993,0.002153221462410072,-0.10449407956979156
train,2025-12-25,btcusdt,buy,30,755650,2325930568.9135,-0.6772292455164846,-0.36705390059167314
train,2025-12-25,btcusdt,sell,30,788977,2494570690.9615993,0.36506866448943903,0.12551353551441394
train,2025-12-25,btcusdt,buy,60,755650,2325930568.9135,-0.8455798580326234,-0.4290656946401988
train,2025-12-25,btcusdt,sell,60,788977,2494570690.9615993,0.2048477164901053,0.023912874073454524
train,2025-12-25,btcusdt,buy,120,755650,2325930568.9135,0.021029340642078547,0.15902317319975778
train,2025-12-25,btcusdt,sell,120,788977,2494570690.9615993,-0.24897832207159246,-0.27077807423277594
