asof_mode,split,date,symbol,side,price_location,rows,share_within_side
strictly_previous_bbo,train,2025-12-09,btcusdt,sell,above_ask,29327,0.013180917041617396
same_timestamp_allowed,train,2025-12-09,btcusdt,sell,at_ask,2671,0.0012004715592512042
strictly_previous_bbo,train,2025-12-09,btcusdt,sell,at_ask,2714,0.0012197977580710477
same_timestamp_allowed,train,2025-12-09,btcusdt,sell,inside_spread,8537,0.003836924635465193
strictly_previous_bbo,train,2025-12-09,btcusdt,sell,inside_spread,8691,0.003906139394029283
same_timestamp_allowed,train,2025-12-09,btcusdt,sell,at_bid,907870,0.40803897959468016
strictly_previous_bbo,train,2025-12-09,btcusdt,sell,at_bid,899975,0.4044905996020601
same_timestamp_allowed,train,2025-12-09,btcusdt,sell,below_bid,1277459,0.5741494562371711
strictly_previous_bbo,train,2025-12-09,btcusdt,sell,below_bid,1284252,0.5772025462042222
same_timestamp_allowed,train,2025-12-09,btcusdt,sell,outside_or_ambiguous,0,0.0
strictly_previous_bbo,train,2025-12-09,btcusdt,sell,outside_or_ambiguous,0,0.0
same_timestamp_allowed,train,2025-12-09,btcusdt,sell,missing_bbo,0,0.0
strictly_previous_bbo,train,2025-12-09,btcusdt,sell,missing_bbo,0,0.0
same_timestamp_allowed,train,2025-12-10,btcusdt,buy,above_ask,1212927,0.5829123824673624
strictly_previous_bbo,train,2025-12-10,btcusdt,buy,above_ask,1219371,0.5860092608389541
same_timestamp_allowed,train,2025-12-10,btcusdt,buy,at_ask,833408,0.4005219133940951
strictly_previous_bbo,train,2025-12-10,btcusdt,buy,at_ask,825935,0.3969305148728497
same_timestamp_allowed,train,2025-12-10,btcusdt,buy,inside_spread,8449,0.004060447759400809
strictly_previous_bbo,train,2025-12-10,btcusdt,buy,inside_spread,8583,0.004124845913000017
same_timestamp_allowed,train,2025-12-10,btcusdt,buy,at_bid,1873,0.0009001324006814671
strictly_previous_bbo,train,2025-12-10,btcusdt,buy,at_bid,1927,0.0009260838954154762
same_timestamp_allowed,train,2025-12-10,btcusdt,buy,below_bid,24148,0.01160512397846026
strictly_previous_bbo,train,2025-12-10,btcusdt,buy,below_bid,24989,0.012009294479780662
same_timestamp_allowed,train,2025-12-10,btcusdt,buy,outside_or_ambiguous,0,0.0
strictly_previous_bbo,train,2025-12-10,btcusdt,buy,outside_or_ambiguous,0,0.0
same_timestamp_allowed,train,2025-12-10,btcusdt,buy,missing_bbo,0,0.0
strictly_previous_bbo,train,2025-12-10,btcusdt,buy,missing_bbo,0,0.0
same_timestamp_allowed,train,2025-12-10,btcusdt,sell,above_ask,24047,0.011179035647209774
strictly_previous_bbo,train,2025-12-10,btcusdt,sell,above_ask,24711,0.011487717797571453
same_timestamp_allowed,train,2025-12-10,btcusdt,sell,at_ask,1884,0.0008758391133756066
strictly_previous_bbo,train,2025-12-10,btcusdt,sell,at_ask,1918,0.0008916451270989457
same_timestamp_allowed,train,2025-12-10,btcusdt,sell,inside_spread,8227,0.0038245904382914627
strictly_previous_bbo,train,2025-12-10,btcusdt,sell,inside_spread,8364,0.0038882793759413875
same_timestamp_allowed,train,2025-12-10,btcusdt,sell,at_bid,840504,0.3907358164270971
strictly_previous_bbo,train,2025-12-10,btcusdt,sell,at_bid,833147,0.3873156739870205
same_timestamp_allowed,train,2025-12-10,btcusdt,sell,below_bid,1276418,0.5933847183740261
strictly_previous_bbo,train,2025-12-10,btcusdt,sell,below_bid,1282940,0.5964166837123678
same_timestamp_allowed,train,2025-12-10,btcusdt,sell,outside_or_ambiguous,0,0.0
